2019-01-07 01:12:46.043  INFO [detail-service,,,] 15616 --- [restartedMain] c.s.d.DetailserviceApplication           : No active profile set, falling back to default profiles: default
2019-01-07 01:12:46.775  INFO [detail-service,,,] 15616 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=9277c8b0-f998-388b-a443-a89cbe7bc20e
2019-01-07 01:14:23.658 DEBUG [detail-service,b17523ec93f61794,f63d6f7c5f969b2d,true] 15616 --- [hystrix-GreetingServiceImpl-3] c.s.d.service.GreetingServiceImpl        : GreetingServiceImpl -> getAllGreetingsByPathWithName
2019-01-07 01:14:23.693 DEBUG [detail-service,b17523ec93f61794,b17523ec93f61794,true] 15616 --- [http-nio-8102-exec-6] c.s.d.util.HeaderContextInterceptor      : HeaderContextInterceptor -> postHandle
2019-01-07 01:14:23.693 DEBUG [detail-service,b17523ec93f61794,b17523ec93f61794,true] 15616 --- [http-nio-8102-exec-6] c.s.d.util.HeaderContextInterceptor      : HeaderContextInterceptor -> afterCompletion
2019-01-07 01:14:24.021 DEBUG [detail-service,3f0ab2ae816a290e,3f0ab2ae816a290e,false] 15616 --- [http-nio-8102-exec-7] c.s.d.util.HeaderContextFilter           : HeaderContextFilter -> doFilter
2019-01-07 01:14:24.021 DEBUG [detail-service,3f0ab2ae816a290e,3f0ab2ae816a290e,false] 15616 --- [http-nio-8102-exec-7] c.s.d.util.HeaderContextFilter           : HeaderContextFilter -> doFilter: correlationId: 88b39e64-d924-4923-8c6d-7442b7d5e596
2019-01-07 01:18:22.330  INFO [detail-service,,,] 15616 --- [Thread-20] o.s.c.n.e.s.EurekaServiceRegistry        : Unregistering application DETAIL-SERVICE with eureka with status DOWN
2019-01-07 01:18:22.330  WARN [detail-service,,,] 15616 --- [Thread-20] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1546816702330, current=DOWN, previous=UP]
2019-01-07 01:18:22.333  INFO [detail-service,,,] 15616 --- [Thread-20] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2019-01-07 01:18:25.757 DEBUG [detail-service,,,] 15616 --- [Thread-20] c.s.d.util.HeaderContextFilter           : HeaderContextFilter -> destroy
2019-01-07 01:18:31.431  INFO [detail-service,,,] 15650 --- [restartedMain] c.s.d.DetailserviceApplication           : No active profile set, falling back to default profiles: default
2019-01-07 01:18:32.273  INFO [detail-service,,,] 15650 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=9277c8b0-f998-388b-a443-a89cbe7bc20e
2019-01-07 01:18:32.490  INFO [detail-service,,,] 15650 --- [restartedMain] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$53101680] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-01-07 01:18:33.062  INFO [detail-service,,,] 15650 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8102 (http)
2019-01-07 01:18:33.079  INFO [detail-service,,,] 15650 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2019-01-07 01:18:33.079  INFO [detail-service,,,] 15650 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet Engine: Apache Tomcat/9.0.13
2019-01-07 01:18:33.085  INFO [detail-service,,,] 15650 --- [restartedMain] o.a.catalina.core.AprLifecycleListener   : The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/serhii/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
2019-01-07 01:18:33.162  INFO [detail-service,,,] 15650 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2019-01-07 01:18:33.435 DEBUG [detail-service,,,] 15650 --- [restartedMain] c.s.d.util.HeaderContextFilter           : HeaderContextFilter -> init
2019-01-07 01:18:33.598  WARN [detail-service,,,] 15650 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : Unable to start LiveReload server
2019-01-07 01:18:33.739  WARN [detail-service,,,] 15650 --- [restartedMain] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2019-01-07 01:18:33.742  WARN [detail-service,,,] 15650 --- [restartedMain] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2019-01-07 01:18:34.103  INFO [detail-service,,,] 15650 --- [restartedMain] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2019-01-07 01:18:34.882  INFO [detail-service,,,] 15650 --- [restartedMain] o.s.c.n.eureka.InstanceInfoFactory       : Setting initial instance status as: STARTING
2019-01-07 01:18:35.404  INFO [detail-service,,,] 15650 --- [restartedMain] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application DETAIL-SERVICE with eureka with status UP
2019-01-07 01:18:35.454  INFO [detail-service,,,] 15650 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8102 (http) with context path ''
2019-01-07 01:18:35.455  INFO [detail-service,,,] 15650 --- [restartedMain] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 8102
2019-01-07 01:18:35.458  INFO [detail-service,,,] 15650 --- [restartedMain] c.s.d.DetailserviceApplication           : Started DetailserviceApplication in 5.039 seconds (JVM running for 6.111)
2019-01-07 01:18:40.147  INFO [detail-service,,,] 15650 --- [http-nio-8102-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-01-07 01:18:40.171 DEBUG [detail-service,d3d742e74478cc23,d3d742e74478cc23,true] 15650 --- [http-nio-8102-exec-1] c.s.d.util.HeaderContextFilter           : HeaderContextFilter -> doFilter
2019-01-07 01:18:40.172 DEBUG [detail-service,d3d742e74478cc23,d3d742e74478cc23,true] 15650 --- [http-nio-8102-exec-1] c.s.d.util.HeaderContextFilter           : HeaderContextFilter -> doFilter: request correlationId: null
2019-01-07 01:18:40.172 DEBUG [detail-service,d3d742e74478cc23,d3d742e74478cc23,true] 15650 --- [http-nio-8102-exec-1] c.s.d.util.HeaderContextFilter           : HeaderContextFilter -> doFilter: correlationId: cdde0086-769d-4ff9-b5a1-7370a77a35e7
2019-01-07 01:18:40.178 DEBUG [detail-service,d3d742e74478cc23,d3d742e74478cc23,true] 15650 --- [http-nio-8102-exec-1] c.s.d.util.HeaderContextInterceptor      : HeaderContextInterceptor -> preHandle
2019-01-07 01:18:40.189 DEBUG [detail-service,d3d742e74478cc23,d3d742e74478cc23,true] 15650 --- [http-nio-8102-exec-1] c.s.d.controller.GreetingController      : GreetingController -> helloByPath
2019-01-07 01:18:40.390 DEBUG [detail-service,d3d742e74478cc23,ab4973a1648e9327,true] 15650 --- [hystrix-GreetingServiceImpl-1] c.s.d.service.GreetingServiceImpl        : GreetingServiceImpl -> getAllGreetingsByPathWithName
2019-01-07 01:18:40.682 DEBUG [detail-service,d3d742e74478cc23,d3d742e74478cc23,true] 15650 --- [http-nio-8102-exec-1] c.s.d.util.HeaderContextInterceptor      : HeaderContextInterceptor -> postHandle
2019-01-07 01:18:40.683 DEBUG [detail-service,d3d742e74478cc23,d3d742e74478cc23,true] 15650 --- [http-nio-8102-exec-1] c.s.d.util.HeaderContextInterceptor      : HeaderContextInterceptor -> afterCompletion
2019-01-07 01:18:41.007 DEBUG [detail-service,274de2d53258e6fa,274de2d53258e6fa,false] 15650 --- [http-nio-8102-exec-2] c.s.d.util.HeaderContextFilter           : HeaderContextFilter -> doFilter
2019-01-07 01:18:41.007 DEBUG [detail-service,274de2d53258e6fa,274de2d53258e6fa,false] 15650 --- [http-nio-8102-exec-2] c.s.d.util.HeaderContextFilter           : HeaderContextFilter -> doFilter: request correlationId: null
2019-01-07 01:18:41.008 DEBUG [detail-service,274de2d53258e6fa,274de2d53258e6fa,false] 15650 --- [http-nio-8102-exec-2] c.s.d.util.HeaderContextFilter           : HeaderContextFilter -> doFilter: correlationId: 6ebacbf4-6b12-4096-807f-6d1285cf0e5c
2019-01-07 01:20:10.244  INFO [detail-service,,,] 15650 --- [Thread-20] o.s.c.n.e.s.EurekaServiceRegistry        : Unregistering application DETAIL-SERVICE with eureka with status DOWN
2019-01-07 01:20:10.244  WARN [detail-service,,,] 15650 --- [Thread-20] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1546816810244, current=DOWN, previous=UP]
2019-01-07 01:20:10.247  INFO [detail-service,,,] 15650 --- [Thread-20] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2019-01-07 01:20:13.665 DEBUG [detail-service,,,] 15650 --- [Thread-20] c.s.d.util.HeaderContextFilter           : HeaderContextFilter -> destroy
2019-01-07 01:20:18.578  INFO [detail-service,,,] 15680 --- [restartedMain] c.s.d.DetailserviceApplication           : No active profile set, falling back to default profiles: default
2019-01-07 01:20:19.287  INFO [detail-service,,,] 15680 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=9277c8b0-f998-388b-a443-a89cbe7bc20e
